200,,,,
201,NJ,US,201/551,E
202,DC,US,,E
203,CT,US,203/475,E
204,MANITOBA,CANADA,204/431,C
205,AL,US,205/659,C
206,WA,US,,P
207,ME,US,,E
208,ID,US,,MP
209,CA,US,,P
210,TX,US,,C
211,,,,
212,NY,US,212/646/917,E
213,CA,US,,P
214,TX,US,214/469/972,C
215,PA,US,215/267,E
216,OH,US,,E
217,IL,US,217/447,C
218,MN,US,,C
219,IN,US,,EC
220,,US,,
221,,,,
222,,,,
223,,,,
224,IL,US,32/121,C
225,LA,US,,C
226,ONTARIO,CANADA,226/519,E
227,MD,US,227/240/301,E
228,MS,US,,C
229,GA,US,,E
230,,,,
231,MI,US,,E
232,,,,
233,,,,
234,OH,US,39/55,E
235,,,,
236,BRITISH COLUMBIA,CANADA,236/604/778 236/250/778,P
237,,,,
238,,,,
239,FL,US,,E
240,MD,US,227/240/301,E
241,,,,
242,BAHAMAS,BAHAMAS,,E
243,,,,
244,,,,
245,,,,
246,BARBADOS,BARBADOS,,A
247,,,,
248,MI,US,248/947,E
249,ONTARIO,CANADA,83/235,E
250,BRITISH COLUMBIA,CANADA,236/250/778,P
251,AL,US,,C
252,NC,US,,E
253,WA,US,,P
254,TX,US,,C
255,,,,
256,AL,US,128/469,C
257,,CANADA,,
258,,,,
259,,,,
260,IN,US,,E
261,,,,
262,WI,US,,C
263,,CANADA,,
264,ANGUILLA,ANGUILLA,,A
265,,,,
266,,,,
267,PA,US,215/267,E
268,ANTIGUA/BARBUDA,ANTIGUA/BARBUDA,,A
269,MI,US,,E
270,KY,US,135/182,EC
271,,,,
272,PA,US,136/285,E
273,,CANADA,,
274,WI,US,137/460,C
275,,,,
276,VA,US,,E
277,,,,
278,,,,
279,,,,
280,,,,
281,TX,US,281/713/832,C
282,,,,
283,OH,US,283/513,E
284,BRITISH VIRGIN ISLANDS,BRITISH VIRGIN ISLANDS,,A
285,,,,
286,,,,
287,,,,
288,,,,
289,ONTARIO,CANADA,289/365/905,E
290,,,,
291,,,,
292,,,,
293,,,,
294,,,,
295,,,,
296,,,,
297,,,,
298,,,,
299,,,,
300,,,,
301,MD,US,240/227/301,E
302,DE,US,,E
303,CO,US,101/240,M
304,WV,US,304/681,E
305,FL,US,305/786,E
306,SASKATCHEWAN,CANADA,34/71,C
307,WY,US,,M
308,NE,US,,CM
309,IL,US,,C
310,CA,US,155/212,P
311,,,,
312,IL,US,39/109,C
313,MI,US,313/679,E
314,MO,US,314/557,C
315,NY,US,,E
316,KS,US,,C
317,IN,US,,E
318,LA,US,,C
319,IA,US,,C
320,MN,US,,C
321,FL,US,,E
322,,,,
323,CA,US,,P
324,,,,
325,TX,US,,C
326,,,,
327,AR,US,109/290,C
328,,,,
329,,,,
330,OH,US,39/55,E
331,IL,US,331/630,C
332,,,,
333,,,,
334,AL,US,,C
335,,,,
336,NC,US,,E
337,LA,US,,C
338,,,,
339,MA,US,339/781,E
340,USVI,US,,A
341,,US,,
342,,,,
343,ONTARIO,CANADA,343/613,
344,,,,
345,CAYMAN ISLANDS,CAYMAN ISLANDS,,E
346,TX,US,281/713/832,C
347,NY,US,347/718/917/929,E
348,,,,
349,,,,
350,,,,
351,MA,US,117/326,E
352,FL,US,,E
353,,US,,
354,,CANADA,,
355,,,,
356,,,,
357,,,,
358,,,,
359,,,,
360,WA,US,30/47,P
361,TX,US,,C
362,,,,
363,,,,
364,KY,US,135/182,EC
365,ONTARIO,CANADA,289/365/905,E
366,,,,
367,,CANADA,,
368,,CANADA,,
369,,US,,
370,,,,
371,,,,
372,,,,
